max,mean,min,std,var
14117170,2810993.72,2108,3986071.999400217,15888769984402.44
6758331,1517783.96,3733,1846780.427990171,3410597949207.558
23681865,2189607.32,1078,4685856.38892536,21957250097632.613
18959158,3560514.08,2130,4969300.506488325,24693947523785.12
9392914,1864779.2,1338,2542745.028257737,6465552278729.4375
8605228,1721982.92,15142,2612264.03133481,6823923369405.594
19532174,1528535.76,2345,3838792.33262322,14736326573006.822
17722207,3568963.52,19986,5708434.860410683,32586228555551.93
21264084,2356219.96,249,4401001.72551483,19368816187984.52
43121469,2935963.68,4871,8278930.459341277,68540689550608.78
36066030,3582351.88,12241,7674533.9525654875,58898471389080.43
27509037,2574532.72,248,5688717.254388104,32361504000372.93
50354669,4212259.52,3076,10195050.579587033,103939056320337.86
13892794,1612192.08,3119,2785567.6549604884,7759387160362.075
13800736,2167294.84,12910,3298913.717656958,10882831716545.254
6830160,1532573.96,8066,2096991.4644458708,4397373201958.838
28576359,2736863.72,2249,5704355.161129633,32539667804306.285
23730303,2511068.28,759,4696030.8470222,22052705716184.047
